iter	Passed	Remaining
0	41	20589
1	63	15816
2	79	13126
3	88	10972
4	92	9195
5	107	8849
6	120	8512
7	123	7600
8	129	7041
9	138	6809
10	145	6471
11	151	6146
12	158	5939
13	163	5677
14	166	5392
15	172	5230
16	178	5066
17	183	4925
18	187	4738
19	190	4579
20	194	4431
21	197	4291
22	200	4156
23	207	4112
24	211	4022
25	217	3961
26	222	3893
27	226	3811
28	229	3731
29	233	3653
30	236	3577
31	239	3501
32	242	3433
33	247	3390
34	250	3329
35	256	3312
36	261	3274
37	265	3232
38	269	3185
39	272	3131
40	275	3086
41	279	3047
42	284	3019
43	286	2965
44	289	2922
45	293	2891
46	297	2862
47	301	2841
48	305	2812
49	309	2786
50	312	2754
51	315	2719
52	319	2692
53	323	2671
54	326	2644
55	339	2694
56	346	2692
57	352	2685
58	360	2691
59	367	2691
60	370	2667
61	374	2647
62	379	2631
63	384	2620
64	388	2596
65	392	2580
66	396	2564
67	400	2541
68	406	2537
69	410	2520
70	413	2500
71	417	2481
72	421	2465
73	424	2445
74	428	2425
75	432	2410
76	435	2391
77	438	2373
78	441	2353
79	445	2337
80	448	2322
81	452	2307
82	456	2292
83	459	2275
84	462	2260
85	467	2248
86	471	2236
87	475	2225
88	480	2218
89	484	2205
90	487	2190
91	490	2176
92	493	2160
93	496	2146
94	501	2136
95	504	2125
96	508	2112
97	511	2099
98	515	2090
99	519	2076
100	522	2064
101	525	2050
102	529	2041
103	533	2031
104	537	2023
105	541	2010
106	543	1997
107	547	1988
108	551	1976
109	554	1967
110	558	1955
111	561	1943
112	564	1934
113	568	1923
114	571	1914
115	579	1918
116	585	1915
117	589	1907
118	592	1895
119	595	1885
120	598	1874
121	601	1864
122	605	1854
123	608	1844
124	611	1835
125	615	1827
126	618	1817
127	622	1808
128	626	1801
129	627	1786
130	632	1782
131	637	1777
132	642	1772
133	647	1769
134	651	1761
135	654	1752
136	657	1742
137	659	1729
138	663	1722
139	664	1709
140	668	1701
141	671	1691
142	674	1682
143	676	1673
144	679	1663
145	683	1656
146	686	1648
147	689	1640
148	693	1632
149	695	1622
150	698	1615
151	701	1606
152	705	1599
153	707	1590
154	710	1582
155	714	1574
156	717	1568
157	719	1558
158	723	1550
159	726	1543
160	730	1537
161	733	1530
162	737	1524
163	740	1517
164	743	1510
165	747	1503
166	750	1495
167	753	1489
168	757	1482
169	760	1475
170	763	1469
171	767	1463
172	770	1455
173	775	1452
174	779	1447
175	783	1441
176	786	1436
177	790	1430
178	793	1423
179	797	1417
180	800	1411
181	805	1406
182	809	1401
183	812	1396
184	816	1390
185	819	1384
186	823	1379
187	827	1373
188	831	1367
189	834	1361
190	838	1357
191	842	1352
192	846	1346
193	850	1341
194	853	1335
195	857	1330
196	861	1324
197	865	1320
198	868	1314
199	872	1309
200	875	1303
201	879	1297
202	883	1292
203	886	1286
204	890	1280
205	892	1273
206	895	1268
207	900	1263
208	903	1258
209	907	1252
210	910	1247
211	913	1241
212	917	1236
213	920	1230
214	924	1225
215	928	1220
216	931	1214
217	935	1210
218	939	1204
219	942	1199
220	946	1194
221	950	1189
222	954	1185
223	958	1180
224	961	1175
225	965	1170
226	969	1165
227	972	1160
228	976	1155
229	980	1151
230	984	1146
231	988	1141
232	992	1136
233	995	1131
234	999	1127
235	1003	1122
236	1006	1117
237	1011	1113
238	1015	1108
239	1018	1103
240	1022	1098
241	1025	1093
242	1030	1089
243	1034	1084
244	1038	1080
245	1041	1075
246	1044	1070
247	1048	1065
248	1051	1060
249	1055	1055
250	1059	1051
251	1063	1046
252	1066	1041
253	1070	1036
254	1073	1031
255	1077	1027
256	1081	1022
257	1086	1018
258	1091	1015
259	1094	1010
260	1099	1006
261	1103	1002
262	1106	997
263	1110	992
264	1113	987
265	1117	983
266	1121	978
267	1124	973
268	1129	969
269	1133	965
270	1137	961
271	1140	956
272	1144	951
273	1148	947
274	1152	942
275	1155	938
276	1159	933
277	1163	929
278	1168	925
279	1171	920
280	1175	915
281	1179	911
282	1182	906
283	1185	902
284	1189	897
285	1192	892
286	1196	888
287	1200	883
288	1204	879
289	1208	874
290	1213	871
291	1217	867
292	1220	862
293	1223	857
294	1227	852
295	1230	848
296	1234	843
297	1238	839
298	1241	834
299	1245	830
300	1248	825
301	1253	821
302	1257	817
303	1261	813
304	1266	809
305	1270	805
306	1273	800
307	1279	797
308	1282	792
309	1285	787
310	1289	783
311	1293	779
312	1296	774
313	1301	771
314	1308	768
315	1314	765
316	1317	760
317	1321	756
318	1326	752
319	1333	749
320	1338	746
321	1343	742
322	1349	739
323	1358	738
324	1370	737
325	1380	736
326	1386	733
327	1391	729
328	1396	725
329	1400	721
330	1403	716
331	1406	711
332	1409	707
333	1413	702
334	1417	697
335	1420	693
336	1423	688
337	1427	684
338	1431	680
339	1436	675
340	1439	671
341	1443	666
342	1446	662
343	1451	658
344	1454	653
345	1457	648
346	1461	644
347	1465	639
348	1468	635
349	1472	631
350	1476	626
351	1481	622
352	1486	619
353	1490	614
354	1494	610
355	1498	606
356	1505	602
357	1509	598
358	1515	595
359	1519	590
360	1523	586
361	1529	582
362	1535	579
363	1539	575
364	1544	571
365	1553	568
366	1560	565
367	1566	561
368	1573	558
369	1579	554
370	1585	551
371	1592	548
372	1616	550
373	1639	552
374	1696	565
375	1722	567
376	1760	574
377	1775	572
378	1805	576
379	1810	571
380	1814	566
381	1818	561
382	1823	556
383	1831	553
384	1837	548
385	1842	544
386	1846	539
387	1848	533
388	1851	528
389	1854	523
390	1858	518
391	1863	513
392	1866	508
393	1870	503
394	1874	498
395	1877	493
396	1882	488
397	1886	483
398	1888	478
399	1892	473
400	1905	470
401	1913	466
402	1918	461
403	1926	457
404	1931	453
405	1935	448
406	1939	443
407	1943	438
408	1946	433
409	1950	428
410	1954	423
411	1958	418
412	1961	413
413	1968	408
414	1974	404
415	1978	399
416	1982	394
417	1985	389
418	1989	384
419	1993	379
420	1998	375
421	2002	370
422	2007	365
423	2010	360
424	2015	355
425	2024	351
426	2027	346
427	2032	341
428	2046	338
429	2064	336
430	2069	331
431	2076	326
432	2083	322
433	2086	317
434	2089	312
435	2096	307
436	2100	302
437	2105	297
438	2112	293
439	2116	288
440	2120	283
441	2124	278
442	2131	274
443	2139	269
444	2143	264
445	2150	260
446	2155	255
447	2162	250
448	2172	246
449	2208	245
450	2232	242
451	2247	238
452	2253	233
453	2257	228
454	2265	224
455	2271	219
456	2278	214
457	2295	210
458	2305	205
459	2328	202
460	2334	197
461	2340	192
462	2347	187
463	2352	182
464	2359	177
465	2364	172
466	2370	167
467	2373	162
468	2377	157
469	2380	151
470	2384	146
471	2391	141
472	2397	136
473	2403	131
474	2407	126
475	2412	121
476	2416	116
477	2425	111
478	2429	106
479	2439	101
480	2445	96
481	2448	91
482	2452	86
483	2455	81
484	2459	76
485	2463	70
486	2467	65
487	2471	60
488	2479	55
489	2484	50
490	2488	45
491	2492	40
492	2496	35
493	2499	30
494	2502	25
495	2505	20
496	2508	15
497	2512	10
498	2516	5
499	2520	0
